,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,4.06,75,0,4.63,CL,1624066728
1,Hasaki,35.7333,140.8333,21.27,84,100,4.81,JP,1624066831
2,Shirokiy,49.758,129.523,19.4,70,95,8.49,RU,1624066846
3,Puerto Escondido,15.85,-97.0667,26.46,57,90,0.0,MX,1624066846
4,Nikolskoye,59.7035,30.7861,17.94,80,0,2.29,RU,1624066805
5,Visby,57.6409,18.296,18.25,82,6,2.57,SE,1624066847
6,Pevek,69.7008,170.3133,0.39,98,100,1.38,RU,1624066761
7,Upernavik,72.7868,-56.1549,1.72,69,6,2.98,GL,1624066847
8,Piaçabuçu,-10.4056,-36.4344,24.48,71,76,4.92,BR,1624066774
9,Esperance,-33.8667,121.9,10.91,62,3,7.0,AU,1624066764
10,Pokhara,28.2333,83.9833,21.69,89,100,1.08,NP,1624066742
11,Camaná,-16.6228,-72.7111,17.53,90,23,3.74,PE,1624066848
12,Mar del Plata,-38.0023,-57.5575,7.29,54,75,1.34,AR,1624066630
13,Fortuna,40.5982,-124.1573,18.38,67,1,1.34,US,1624066796
14,Ushuaia,-54.8,-68.3,3.81,93,75,3.09,AR,1624066730
15,Tasiilaq,65.6145,-37.6368,5.09,70,1,2.06,GL,1624066729
16,Vila Velha,-20.3297,-40.2925,18.97,94,40,1.54,BR,1624066848
17,Port Hawkesbury,45.6169,-61.3485,14.38,78,77,1.34,CA,1624066849
18,Busselton,-33.65,115.3333,14.47,67,100,6.27,AU,1624066731
19,Mahébourg,-20.4081,57.7,20.14,88,40,0.51,MU,1624066849
20,Longyearbyen,78.2186,15.6401,3.91,70,75,9.77,SJ,1624066735
21,San Carlos,9.6612,-68.5827,23.0,96,99,0.9,VE,1624066850
22,Petropavlovsk-Kamchatskiy,53.0452,158.6483,12.33,62,75,1.0,RU,1624066850
23,Bambous Virieux,-20.3428,57.7575,20.12,88,40,0.51,MU,1624066773
24,Ambilobe,-13.2,49.05,19.19,91,71,1.29,MG,1624066850
25,May Pen,17.9645,-77.2451,28.56,79,43,1.52,JM,1624066851
26,Tuktoyaktuk,69.4541,-133.0374,16.0,41,40,6.69,CA,1624066740
27,Jamestown,42.097,-79.2353,23.62,73,90,6.17,US,1624066630
28,Samarai,-10.6167,150.6667,26.48,74,100,5.8,PG,1624066788
29,Mataura,-46.1927,168.8643,8.6,67,18,2.05,NZ,1624066736
30,Hilo,19.7297,-155.09,26.0,71,20,3.6,US,1624066756
31,Atuona,-9.8,-139.0333,26.0,79,26,9.61,PF,1624066741
32,Kobryn,52.2138,24.3564,15.53,91,7,2.41,BY,1624066852
33,Río Gallegos,-51.6226,-69.2181,-1.97,86,0,0.51,AR,1624066852
34,Tuy Hoa,13.0833,109.3,32.4,55,26,4.61,VN,1624066852
35,Iralaya,15.0,-83.2333,27.17,82,100,4.84,HN,1624066852
36,Hermanus,-34.4187,19.2345,13.83,65,7,2.85,ZA,1624066737
37,Albany,42.6001,-73.9662,23.97,67,100,2.6,US,1624066722
38,Peshawar,34.008,71.5785,26.08,47,0,2.06,PK,1624066762
39,Port Alfred,-33.5906,26.891,13.74,83,6,5.86,ZA,1624066737
40,Thompson,55.7435,-97.8558,19.09,34,20,4.12,CA,1624066732
41,San Patricio,28.017,-97.5169,29.97,67,74,3.25,US,1624066759
42,Bluff,-46.6,168.3333,8.78,66,0,4.66,NZ,1624066750
43,Egvekinot,66.3167,-179.1667,4.26,79,87,2.79,RU,1624066832
44,Rikitea,-23.1203,-134.9692,23.8,77,8,10.63,PF,1624066728
45,Kapaa,22.0752,-159.319,28.99,74,20,0.89,US,1624066750
46,Norman Wells,65.282,-126.8329,25.02,22,40,2.57,CA,1624066749
47,Denpasar,-8.65,115.2167,27.81,83,20,1.03,ID,1624066779
48,Iqaluit,63.7506,-68.5145,-0.15,100,90,1.34,CA,1624066729
49,Mizdah,31.4451,12.9801,21.66,58,0,2.61,LY,1624066854
50,Boldumsaz,42.1282,59.671,24.03,31,38,5.33,TM,1624066854
51,George Town,5.4112,100.3354,29.38,82,20,0.45,MY,1624066567
52,Saint George,37.1041,-113.5841,43.33,13,1,3.13,US,1624066527
53,Avarua,-21.2078,-159.775,25.03,83,75,8.23,CK,1624066738
54,San Policarpo,12.1791,125.5072,29.88,67,100,2.79,PH,1624066855
55,Makkah al Mukarramah,21.4267,39.8261,29.8,30,11,1.83,SA,1624066828
56,Baghdad,33.3406,44.4009,27.95,28,0,6.17,IQ,1624066821
57,Kavieng,-2.5744,150.7967,27.78,71,100,2.48,PG,1624066753
58,Lebu,-37.6167,-73.65,9.21,80,0,1.0,CL,1624066746
59,Natchitoches,31.7668,-93.1335,29.47,65,90,3.09,US,1624066856
60,Mossamedes,-15.1961,12.1522,20.74,62,5,3.57,AO,1624066751
61,Cape Town,-33.9258,18.4232,13.95,93,0,2.06,ZA,1624066612
62,Butaritari,3.0707,172.7902,28.29,70,25,2.36,KI,1624066726
63,Kiama,-34.6833,150.8667,15.71,82,100,3.58,AU,1624066856
64,Vaini,-21.2,-175.2,26.09,83,40,3.6,TO,1624066742
65,Airai,-8.9266,125.4092,22.08,51,97,1.93,TL,1624066735
66,Ichinoseki,38.9167,141.1333,18.36,92,100,1.9,JP,1624066857
67,Tari,12.4086,4.4914,28.15,51,100,4.16,NG,1624066857
68,Clyde River,70.4692,-68.5914,0.13,100,90,5.14,CA,1624066857
69,Faanui,-16.4833,-151.75,27.05,76,12,6.11,PF,1624066858
70,Saskylakh,71.9167,114.0833,25.08,35,48,5.69,RU,1624066821
71,Bac Lieu,9.285,105.7244,29.82,68,96,4.57,VN,1624066858
72,Saint Paul Harbor,57.79,-152.4072,9.73,87,90,7.72,US,1624066739
73,Kutum,14.2,24.6667,24.43,46,99,1.9,SD,1624066858
74,Lufilufi,-13.8745,-171.5986,26.88,77,97,4.13,WS,1624066859
75,Port Macquarie,-31.4333,152.9167,19.38,45,40,7.72,AU,1624066763
76,Ponta Delgada,37.7333,-25.6667,16.4,82,20,2.57,PT,1624066859
77,Watsa,3.0372,29.5355,15.68,97,100,1.0,CD,1624066859
78,Boguchany,58.3814,97.4531,21.64,66,38,1.21,RU,1624066860
79,São Filipe,14.8961,-24.4956,22.48,83,4,3.07,CV,1624066733
80,North Port,27.0442,-82.2359,29.02,81,100,5.18,US,1624066860
81,Hithadhoo,-0.6,73.0833,28.57,72,100,4.88,MV,1624066740
82,Ust-Maya,60.4167,134.5333,23.47,29,97,3.72,RU,1624066862
83,Malé,4.1748,73.5089,28.97,84,75,6.69,MV,1624066862
84,Comodoro Rivadavia,-45.8667,-67.5,1.92,75,0,3.6,AR,1624066862
85,Hongjiang,27.11,109.9956,28.81,85,100,1.12,CN,1624066863
86,Aden,12.7794,45.0367,29.98,80,98,6.48,YE,1624066863
87,Te Anau,-45.4167,167.7167,6.64,63,85,0.09,NZ,1624066731
88,Bredasdorp,-34.5322,20.0403,11.27,93,10,1.54,ZA,1624066800
89,Bilibino,68.0546,166.4372,9.67,54,87,6.58,RU,1624066863
90,Constitución,-35.3333,-72.4167,10.56,89,0,1.97,CL,1624066774
91,Ribeira Grande,38.5167,-28.7,18.85,79,7,2.7,PT,1624066758
92,Pyapon,16.2833,95.6833,26.22,84,100,2.1,MM,1624066864
93,Asău,46.4333,26.4,16.89,96,98,2.52,RO,1624066778
94,Provideniya,64.3833,-173.3,11.42,65,96,2.9,RU,1624066784
95,Burnie,-41.0667,145.9167,12.9,64,4,0.21,AU,1624066864
96,Umeå,63.8284,20.2597,9.95,81,0,2.57,SE,1624066865
97,Narsaq,60.9167,-46.05,7.12,75,100,1.78,GL,1624066771
98,Cabedelo,-6.9811,-34.8339,23.37,91,25,5.3,BR,1624066768
99,Sokoni,-6.4333,39.55,24.92,74,77,8.0,TZ,1624066865
100,Bosilegrad,42.5011,22.4724,13.85,93,14,2.51,RS,1624066866
101,Belaya Gora,68.5333,146.4167,24.43,33,5,0.07,RU,1624066866
102,Broome,42.2506,-75.833,23.21,58,90,3.13,US,1624066745
103,Panguna,-6.3164,155.4848,25.38,78,96,1.24,PG,1624066866
104,Port Lincoln,-34.7333,135.8667,13.59,59,62,3.18,AU,1624066733
105,Llano de Piedra,7.6667,-80.5667,21.82,99,100,0.69,PA,1624066867
106,Yellowknife,62.456,-114.3525,21.29,28,20,9.26,CA,1624066744
107,Sabha,27.0377,14.4283,28.44,25,0,3.85,LY,1624066867
108,Kapit,2.0167,112.9333,23.4,99,100,0.69,MY,1624066867
109,Ossora,59.2353,163.0719,6.9,90,100,1.93,RU,1624066868
110,Nesterov,54.6306,22.5714,16.14,88,30,3.06,RU,1624066868
111,Cayenne,4.9333,-52.3333,26.72,85,20,1.03,GF,1624066868
112,San Jose,37.3394,-121.895,38.87,36,20,2.24,US,1624066651
113,Omsukchan,62.5333,155.8,15.12,39,99,5.63,RU,1624066869
114,Ust'-Karsk,52.7011,118.8077,13.58,94,100,3.93,RU,1624066869
115,Arroyo de la Encomienda,41.6096,-4.7969,13.18,96,0,0.51,ES,1624066869
116,Arraial do Cabo,-22.9661,-42.0278,21.12,70,100,5.34,BR,1624066752
117,Barrow,71.2906,-156.7887,14.01,58,1,5.14,US,1624066778
118,New Norfolk,-42.7826,147.0587,13.14,83,36,0.89,AU,1624066743
119,Souillac,-20.5167,57.5167,20.2,88,40,0.51,MU,1624066870
120,Amahai,-3.3333,128.9167,27.87,73,100,2.27,ID,1624066870
121,Krasnogorsk,55.8225,37.3181,17.14,67,0,2.0,RU,1624066871
122,Hobart,-42.8794,147.3294,13.34,87,75,0.45,AU,1624066512
123,Qaanaaq,77.484,-69.3632,-0.54,75,29,2.12,GL,1624066734
124,Shugurovo,54.5083,52.1326,13.27,78,80,1.31,RU,1624066871
125,Vestmannaeyjar,63.4427,-20.2734,6.95,70,100,2.76,IS,1624066872
126,Bethel,41.3712,-73.414,23.88,65,1,4.12,US,1624066755
127,Talnakh,69.4865,88.3972,5.62,89,100,4.65,RU,1624066764
128,Kumul,42.8,93.45,30.92,8,100,3.88,CN,1624066872
129,Raudeberg,61.9875,5.1352,9.93,80,100,6.22,NO,1624066872
130,Mahabalipuram,12.6264,80.1722,29.47,55,100,4.26,IN,1624066873
131,Nabire,-3.3667,135.4833,26.76,79,98,0.11,ID,1624066873
132,Klaksvík,62.2266,-6.589,8.51,89,89,6.37,FO,1624066807
133,Dikson,73.5069,80.5464,0.18,91,32,6.99,RU,1624066759
134,Gazli,40.1333,63.45,29.82,11,0,3.07,UZ,1624066873
135,Kahului,20.8947,-156.47,30.01,65,20,10.8,US,1624066666
136,Morondava,-20.2833,44.2833,18.2,80,6,3.41,MG,1624066874
137,Kontagora,10.3999,5.4695,24.26,82,67,1.74,NG,1624066874
138,Carballo,43.213,-8.691,14.83,92,100,2.88,ES,1624066874
139,Puerto Ayora,-0.7393,-90.3518,23.08,95,47,1.79,EC,1624066733
140,Vardø,70.3705,31.1107,6.99,93,40,7.72,NO,1624066795
141,Austin,30.2672,-97.7431,31.81,52,1,0.89,US,1624066263
142,Līsakovsk,52.5369,62.4936,13.13,47,7,4.25,KZ,1624066875
143,Montepuez,-13.1256,38.9997,15.46,93,8,2.98,MZ,1624066875
144,Nanortalik,60.1432,-45.2371,4.52,74,100,4.43,GL,1624066735
145,Geraldton,-28.7667,114.6,11.23,66,0,7.2,AU,1624066768
146,Vanimo,-2.6741,141.3028,28.07,74,94,1.39,PG,1624066797
147,Kinsale,51.7075,-8.5306,10.65,76,75,3.09,IE,1624066876
148,Nanhai,30.1282,111.7784,20.75,94,100,1.76,CN,1624066876
149,Dingle,10.9995,122.6711,30.23,68,99,3.38,PH,1624066791
150,Bara,10.3744,10.7288,24.34,72,100,2.99,NG,1624066825
151,Izhmorskiy,56.194,86.6414,22.03,73,99,4.7,RU,1624066877
152,Malakal,9.5334,31.6605,23.58,76,90,1.19,SS,1624066877
153,Port Blair,11.6667,92.75,28.84,76,100,4.59,IN,1624066793
154,Huarmey,-10.0681,-78.1522,19.42,85,60,4.21,PE,1624066878
155,Lavrentiya,65.5833,-171.0,9.3,68,64,2.51,RU,1624066828
156,Taoudenni,22.6783,-3.9836,36.07,10,96,4.16,ML,1624066807
157,Leningradskiy,69.3833,178.4167,4.48,85,95,3.11,RU,1624066762
158,Mayo,38.8876,-76.5119,26.32,82,1,0.45,US,1624066816
159,Boueni,-12.9025,45.0761,25.99,68,27,9.1,YT,1624066878
160,Riyadh,24.6877,46.7219,28.03,15,0,3.6,SA,1624066787
161,Conakry,9.538,-13.6773,24.04,88,75,3.09,GN,1624066673
162,Bandarbeyla,9.4942,50.8122,26.17,71,100,10.33,SO,1624066879
163,Barzas,55.7167,86.3167,20.13,69,97,4.46,RU,1624066879
164,Kathmandu,27.7167,85.3167,22.12,88,75,1.54,NP,1624066879
165,Santo Antônio do Amparo,-20.9464,-44.9189,12.11,88,9,2.31,BR,1624066880
166,Kaitangata,-46.2817,169.8464,9.96,65,40,3.04,NZ,1624066754
167,Garissa,-0.4536,39.6401,22.72,77,92,6.99,KE,1624066843
168,Pisco,-13.7,-76.2167,18.03,82,0,3.09,PE,1624066736
169,Chui,-33.6971,-53.4616,9.58,89,6,2.4,UY,1624066747
170,Tautira,-17.7333,-149.15,30.01,83,13,6.25,PF,1624066822
171,Inhambane,-23.865,35.3833,19.81,76,22,5.87,MZ,1624066792
172,Khatanga,71.9667,102.5,17.88,60,80,6.5,RU,1624066740
173,Kudahuvadhoo,2.6708,72.8944,28.86,71,41,5.09,MV,1624066881
174,Okha,53.5739,142.9478,12.63,57,92,3.26,RU,1624066881
175,Paamiut,61.994,-49.6678,5.62,77,100,8.79,GL,1624066832
176,Beringovskiy,63.05,179.3167,8.25,76,100,3.25,RU,1624066881
177,Buraidah,26.326,43.975,23.25,15,0,2.36,SA,1624066881
178,Marawi,7.9986,124.2928,26.77,65,100,1.12,PH,1624066882
179,Abū Zabad,12.35,29.25,25.84,69,68,5.03,SD,1624066882
180,Xiaoyi,34.6178,109.703,25.34,45,100,0.52,CN,1624066882
181,Guerrero Negro,27.9769,-114.0611,19.28,79,0,8.21,MX,1624066883
182,Sibu,2.3,111.8167,27.17,83,40,1.03,MY,1624066883
183,Port-Gentil,-0.7193,8.7815,25.74,82,45,5.8,GA,1624066883
184,Castro,-24.7911,-50.0119,11.71,98,100,4.22,BR,1624066755
185,Arenápolis,-14.4503,-56.8461,20.33,56,100,0.6,BR,1624066884
186,Touros,-5.1989,-35.4608,24.5,92,16,4.34,BR,1624066794
187,Coruripe,-10.1256,-36.1756,24.21,72,98,5.09,BR,1624066884
188,Saint Anthony,45.0205,-93.218,30.53,30,1,0.45,US,1624066884
189,Esim,4.8699,-2.2405,25.86,79,100,4.07,GH,1624066884
190,Sayyan,15.1718,44.3244,17.7,23,36,2.34,YE,1624066806
191,Portland,45.5234,-122.6762,26.99,46,20,0.89,US,1624066578
192,Kholmogory,64.2229,41.656,17.06,63,84,4.51,RU,1624066885
193,Sioux Lookout,50.1001,-91.917,13.21,71,75,4.63,CA,1624066885
194,Lompoc,34.6391,-120.4579,24.2,83,1,5.66,US,1624066747
195,Katsuura,35.1333,140.3,22.33,83,100,5.15,JP,1624066886
196,Meulaboh,4.1363,96.1285,27.29,74,68,1.22,ID,1624066886
197,Chokwé,-24.5333,32.9833,16.24,94,46,3.11,MZ,1624066886
198,Forrest City,35.0081,-90.7898,27.92,65,93,3.42,US,1624066887
199,Paragominas,-2.9667,-47.4833,21.6,99,100,1.59,BR,1624066887
200,Yuci,37.6803,112.7319,20.86,49,0,2.0,CN,1624066887
201,Dwārka,22.2394,68.9678,29.55,69,98,7.02,IN,1624066888
202,Hofn,64.2539,-15.2082,6.85,76,29,1.07,IS,1624066888
203,Bereslavka,48.6254,44.0449,17.43,61,7,6.52,RU,1624066888
204,İskele,39.484,26.9278,21.05,78,75,2.57,TR,1624066889
205,Yar-Sale,66.8333,70.8333,8.69,60,94,2.93,RU,1624066889
206,Bereket,39.2446,55.5154,26.54,51,0,3.36,TM,1624066889
207,Havelock,34.8791,-76.9013,26.99,71,20,3.09,US,1624066889
208,Baiyin,36.5583,104.2081,19.49,31,94,1.8,CN,1624066890
209,Bereda,43.2686,-7.5406,14.67,100,100,1.24,ES,1624066890
210,Menongue,-14.6585,17.691,8.74,52,1,2.15,AO,1624066890
211,Avanigadda,16.0215,80.9181,29.08,54,100,6.47,IN,1624066891
212,Jambi City,-1.6,103.6167,24.29,89,100,1.42,ID,1624066732
213,Srednekolymsk,67.45,153.6833,16.1,35,82,3.89,RU,1624066891
214,Pacific Grove,36.6177,-121.9166,29.34,80,1,2.68,US,1624066761
215,Chokurdakh,70.6333,147.9167,20.0,34,13,3.0,RU,1624066747
216,San Agustín Acasaguastlán,14.95,-89.9667,25.64,94,98,0.95,GT,1624066892
217,Bathsheba,13.2167,-59.5167,26.34,73,40,5.66,BB,1624066892
218,Saint-Philippe,-21.3585,55.7679,19.77,78,92,3.77,RE,1624066800
219,Kitzingen,49.7333,10.1667,21.75,83,99,1.48,DE,1624066892
220,Bekovo,52.4663,43.712,12.48,85,48,2.42,RU,1624066893
221,Langsa,4.4683,97.9683,27.0,79,96,1.17,ID,1624066893
222,Gal'bshtadt,53.2264,78.9845,12.57,88,100,6.43,RU,1624066893
223,Tutóia,-2.7619,-42.2744,25.37,85,10,5.24,BR,1624066894
224,Sinnamary,5.3833,-52.95,25.56,86,15,4.43,GF,1624066894
225,Lagoa,39.05,-27.9833,18.05,82,6,4.51,PT,1624066894
226,Ilulissat,69.2167,-51.1,6.01,75,9,1.54,GL,1624066822
227,Kieta,-6.2167,155.6333,28.7,73,90,2.3,PG,1624066895
228,Bengkulu,-3.8004,102.2655,27.3,69,99,1.02,ID,1624066895
229,Buala,-8.145,159.5921,29.07,73,100,3.32,SB,1624066895
230,Kibondo,-3.5864,30.7203,16.46,82,100,1.25,TZ,1624066895
231,Bata,1.8639,9.7658,24.92,100,40,0.0,GQ,1624066896
232,Waipawa,-41.4122,175.5153,9.46,87,100,2.18,NZ,1624066896
233,Hong Kong,22.2855,114.1577,32.76,77,100,4.02,HK,1624066671
234,Oslo,59.9127,10.7461,16.68,1,100,0.97,NO,1624066849
235,Sur,22.5667,59.5289,28.51,66,96,1.09,OM,1624066748
236,Upington,-28.4478,21.2561,9.21,53,0,1.54,ZA,1624066897
237,Ancud,-41.8697,-73.8203,6.24,80,0,2.04,CL,1624066897
238,Tiksi,71.6872,128.8694,21.18,31,5,6.37,RU,1624066731
239,Mackay,-21.15,149.2,20.02,42,12,5.14,AU,1624066794
240,Laas,46.6166,10.7002,20.49,87,100,0.8,IT,1624066827
241,Hamilton,39.1834,-84.5333,23.66,88,90,1.79,US,1624066897
242,Khandyga,62.6667,135.6,28.49,24,79,1.1,RU,1624066898
243,Pio IX,-6.8375,-40.5792,21.97,50,0,3.68,BR,1624066898
244,Saint-Paul,-21.0096,55.2707,19.06,88,5,1.34,RE,1624066898
245,Alice Springs,-23.7,133.8833,10.75,58,40,4.63,AU,1624066899
246,Şuraabad,40.8192,49.4687,25.1,60,1,5.89,AZ,1624066899
247,Margate,51.3813,1.3862,14.06,97,100,0.89,GB,1624066899
248,Port Elizabeth,-33.918,25.5701,10.16,93,0,2.06,ZA,1624066623
249,Tual,-5.6667,132.75,27.19,79,95,9.6,ID,1624066751
250,Saint-Augustin,51.226,-58.6502,11.37,82,22,5.16,CA,1624066827
251,Port Hardy,50.6996,-127.4199,15.1,67,75,5.14,CA,1624066825
252,Qaqortoq,60.7167,-46.0333,7.28,75,100,0.73,GL,1624066730
253,Pacifica,37.6138,-122.4869,37.52,70,1,0.89,US,1624066900
254,Torbay,47.6666,-52.7314,16.43,63,75,3.6,CA,1624066746
255,Andenes,69.3143,16.1194,7.99,93,100,5.66,NO,1624066900
256,Isangel,-19.55,169.2667,29.06,74,20,2.57,VU,1624066783
257,Udala,43.0778,-2.5125,16.18,98,100,0.67,ES,1624066901
258,Hualmay,-11.0964,-77.6139,18.54,87,22,4.63,PE,1624066760
259,Faya,18.3851,42.4509,21.06,37,58,1.18,SA,1624066771
260,Loandjili,-4.7561,11.8578,24.06,94,75,3.6,CG,1624066901
261,Mahon,39.8885,4.2658,23.31,94,0,1.54,ES,1624066902
262,Kirkwall,58.9848,-2.9587,9.19,87,99,0.0,GB,1624066902
263,Muros,42.7762,-9.0603,15.13,83,90,4.5,ES,1624066902
264,Jefferson City,38.5767,-92.1735,33.95,46,1,3.6,US,1624066699
265,Mabaruma,8.2,-59.7833,23.24,98,61,1.03,GY,1624066902
266,Pangnirtung,66.1451,-65.7125,6.33,65,98,1.3,CA,1624066903
267,Bima,-8.4667,118.7167,30.84,59,91,1.83,ID,1624066903
268,García,25.8167,-100.5833,29.92,49,1,5.34,MX,1624066903
269,Russell,32.3502,-85.1999,26.84,79,75,0.0,US,1624066904
270,Sistranda,63.7256,8.834,9.94,75,100,1.3,NO,1624066904
271,Puerto Ayacucho,5.6639,-67.6236,24.11,90,57,1.55,VE,1624066904
272,Kipushi,-11.7667,27.2333,9.99,66,34,2.13,CD,1624066905
273,Sitka,57.0531,-135.33,12.94,71,75,3.09,US,1624066732
274,Bagdarin,54.4333,113.6,17.1,50,100,2.92,RU,1624066905
275,Tazovsky,67.4667,78.7,4.97,70,100,4.69,RU,1624066905
276,Leeds,53.7964,-1.5477,12.6,89,100,1.13,GB,1624066906
277,Minot,48.2325,-101.2963,22.55,43,1,5.66,US,1624066906
278,Benxi,41.2886,123.765,24.18,43,42,1.0,CN,1624066906
279,San Cristobal,7.7669,-72.225,18.69,98,67,1.76,VE,1624066906
280,East London,-33.0153,27.9116,15.61,80,20,5.25,ZA,1624066627
281,Arrondissement de Toul,48.6667,5.9167,21.77,85,0,2.06,FR,1624066907
